,balanced_acc_mean_test,f1_mean_test,recall_mean_test,specificity_mean_test,balanced_acc_std_test,f1_std_test,recall_std_test,specificity_std_test
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.001}",0.5505460304921153,0.8023742785657116,0.10822222222222222,0.9928698387620083,0.03605464633754703,0.021262769861315943,0.0780838422450707,0.008082340653699888
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.01}",0.5887895464968637,0.821529399334435,0.1944646464646465,0.9831144465290806,0.04226832865345263,0.01865691474950837,0.09786888234164615,0.013684489702672036
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.001}",0.5430381752037721,0.798054378588788,0.09208080808080807,0.9939955423267361,0.03312150821556405,0.01971675067076693,0.0718861744661632,0.006648734954537762
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 200, 'learning_rate_init': 0.01}",0.6115972317512754,0.8322220622758844,0.2464646464646465,0.9767298170379044,0.043988630234303855,0.023405165426718784,0.09082948253997568,0.007918597592116305
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 200, 'learning_rate_init': 0.001}",0.5954762355031932,0.8271443763684128,0.20634343434343436,0.984609036662952,0.03553478734079494,0.01809034505403639,0.07293657872333832,0.0036406738242109066
"{'activation': 'relu', 'batch_size': 600, 'hidden_layer_sizes': 50, 'learning_rate_init': 0.01}",0.6236225275223991,0.8380673562845258,0.2701414141414141,0.977103640903384,0.047234792394552076,0.023423702507523805,0.10111139567463161,0.00799159574845127
"{'activation': 'relu', 'batch_size': 600, 'hidden_layer_sizes': 50, 'learning_rate_init': 0.001}",0.5741174696078419,0.8162453484579899,0.1561212121212121,0.9921137270944718,0.04892080637394018,0.02519062577556157,0.10276568513974198,0.005499627102989789
"{'activation': 'relu', 'batch_size': 600, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.01}",0.5982518544071818,0.8240300866911513,0.21828282828282827,0.9782208805315353,0.05317877051086071,0.02445822656491296,0.12021729806990779,0.014091580585670782
"{'activation': 'relu', 'batch_size': 600, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.001}",0.503,0.772350656144232,0.006,1.0,0.006000000000000005,0.0043931693442125375,0.012,0.0
"{'activation': 'relu', 'batch_size': 600, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.01}",0.5975497638860926,0.8284490033050085,0.21048484848484844,0.9846146792873366,0.02432952979420497,0.012236267421923614,0.053944705220289685,0.007058645845440407
"{'activation': 'relu', 'batch_size': 600, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.001}",0.5154873006041171,0.7809457350323334,0.0321010101010101,0.998873591107224,0.021305733132772654,0.014889785132581894,0.04358528623054331,0.001501291371652762
"{'activation': 'relu', 'batch_size': 600, 'hidden_layer_sizes': 200, 'learning_rate_init': 0.01}",0.6130319113207431,0.8317175767376723,0.25046464646464645,0.9755991761768399,0.050476953612382275,0.023442894543966104,0.11001035281628077,0.010072563130603378
"{'activation': 'relu', 'batch_size': 600, 'hidden_layer_sizes': 200, 'learning_rate_init': 0.001}",0.5930188852653551,0.8261945251210683,0.2003030303030303,0.9857347402276799,0.03588760948152765,0.01810452794286563,0.07355313915228356,0.0025515392026981597
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 40, 'learning_rate_init': 0.01}",0.6259201880703806,0.8387467353236282,0.27848484848484845,0.9733555276559127,0.026412775576378455,0.009866908924089582,0.06180689142291945,0.010298347565516371
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 60, 'learning_rate_init': 0.01}",0.6354378015366462,0.8447895097208782,0.2945252525252525,0.9763503505480399,0.02951042801454406,0.012725290299794233,0.06410449585749789,0.005889762034580499
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.01}",0.6327550122107246,0.8409554317125896,0.2944242424242424,0.971085781997207,0.029589016286459935,0.007720969960094167,0.0739827493356754,0.015307755670530384
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.01}",0.6410182745510088,0.8396153272267635,0.3225858585858586,0.959450690516159,0.03411764557570199,0.012237170197993693,0.08567308779094837,0.02280592925191261
"{'activation': 'tanh', 'batch_size': 400, 'hidden_layer_sizes': 40, 'learning_rate_init': 0.01}",0.6299113946957335,0.8389887313351657,0.28834343434343435,0.9714793550480328,0.043668452198276766,0.015275707866755611,0.10126905392834722,0.015070971758970899
"{'activation': 'tanh', 'batch_size': 400, 'hidden_layer_sizes': 60, 'learning_rate_init': 0.01}",0.6339094952971719,0.8396005779894633,0.30048484848484847,0.9673341421094952,0.03482684055766749,0.010816210738795979,0.0847511562990808,0.015527344123290706
"{'activation': 'tanh', 'batch_size': 400, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.01}",0.6352019087744376,0.8418458161526241,0.3004444444444444,0.9699593731044309,0.02670350154794648,0.006726564585768887,0.06759940097623408,0.015190067135523932
"{'activation': 'tanh', 'batch_size': 400, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.01}",0.6371554890694815,0.8450477197486388,0.3005858585858586,0.973725119553104,0.016552047441953172,0.008861253479911622,0.03145879446853176,0.0035508946035414934
"{'activation': 'relu', 'batch_size': 200, 'hidden_layer_sizes': 40, 'learning_rate_init': 0.01}",0.6541715530226442,0.8461626568682439,0.3488888888888889,0.9594542171563993,0.026829915409691825,0.007518884453412534,0.06559509165618047,0.012835246180873219
"{'activation': 'relu', 'batch_size': 200, 'hidden_layer_sizes': 60, 'learning_rate_init': 0.01}",0.6234828000412083,0.8410884554138711,0.2664848484848485,0.980480751597568,0.01662288252460146,0.008657218130477219,0.03224481649817407,0.00367511949346706
"{'activation': 'relu', 'batch_size': 200, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.01}",0.6338514707372218,0.8420535279642506,0.2943636363636363,0.973339305110807,0.03535094377239007,0.010616800520074554,0.08638066817703335,0.016010279318991318
"{'activation': 'relu', 'batch_size': 200, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.01}",0.6320136892062438,0.840644180437376,0.2925656565656566,0.9714617218468311,0.03241371306705577,0.011164300089802891,0.07748357317409493,0.01409770850337258
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 40, 'learning_rate_init': 0.01}",0.6281908760188606,0.8382872019139398,0.2864040404040404,0.9699777116336807,0.03220600286424436,0.011215408002517286,0.07480078906734498,0.012439273518232059
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 60, 'learning_rate_init': 0.01}",0.6192130670641582,0.8391390179155973,0.2564444444444444,0.981981689683872,0.02694957041158924,0.013107328122305015,0.05650477965143117,0.007372920097136513
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.01}",0.633466943554235,0.8431103006816871,0.2924646464646464,0.9744692406438235,0.027720732306003328,0.011533215962813518,0.061312701977096665,0.009410289945201223
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.01}",0.5887895464968637,0.821529399334435,0.1944646464646465,0.9831144465290806,0.04226832865345263,0.01865691474950837,0.09786888234164615,0.013684489702672036
