,balanced_acc_mean_test,f1_mean_test,recall_mean_test,specificity_mean_test,balanced_acc_std_test,f1_std_test,recall_std_test,specificity_std_test
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 10, 'n_estimators': 100}",0.6314300323838193,0.8466489883181854,0.27862626262626267,0.9842338021413759,0.014586140281019774,0.007466762459854159,0.029960801517800253,0.003273427091172771
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 10, 'n_estimators': 200}",0.6347036544969793,0.8495290432075893,0.28254545454545454,0.9868618544485039,0.01206921267853364,0.006639629847841361,0.022893212390438327,0.0029065708796659233
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 20, 'n_estimators': 5}",0.6353421668903054,0.8272347085302025,0.33674747474747474,0.9339368590331363,0.01763777976718653,0.01124460419531223,0.031576306890146795,0.012168053165129256
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 20, 'n_estimators': 10}",0.6403391050541243,0.8372250451080478,0.32872727272727276,0.9519509373809758,0.020155537248900658,0.012526596639355144,0.03323644320658865,0.008019147393003127
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 20, 'n_estimators': 20}",0.6466082448431614,0.8472462883741695,0.3247474747474748,0.968469014938848,0.01544302607387374,0.00825647934591211,0.030577811412200947,0.00620854989203945
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 20, 'n_estimators': 80}",0.6459557578350903,0.8500183732883236,0.3166868686868687,0.9752246469833119,0.010688298269053912,0.007132870982344487,0.018408064845107975,0.005742599911316544
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 20, 'n_estimators': 100}",0.6465182569534302,0.8507437440717303,0.3166868686868687,0.9763496452199918,0.009262900912742717,0.004988056551336422,0.01946424546037426,0.004696879195710738
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 20, 'n_estimators': 200}",0.6459032398210833,0.8507635429489872,0.3147070707070707,0.9770994089350957,0.015867892089476487,0.009433867692276044,0.030280503411407825,0.007552814511961592
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 30, 'n_estimators': 5}",0.6523196238934366,0.8238952824548449,0.3947272727272727,0.9099119750596003,0.017017359372673815,0.007328058725756048,0.03311587469816845,0.0030826612283325018
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 30, 'n_estimators': 10}",0.6518532059867106,0.8357860822551331,0.36676767676767674,0.9369387352057442,0.012873178092548695,0.009680040960607462,0.01917947496605347,0.011032779024784922
